=== Loading wragge/hansard-xml speeches ===
  Found 13247 XML files
  Loaded 424976 existing dedup keys
  [58/13247] 500 inserted, 2240 deduped
  [67/13247] 1000 inserted, 2240 deduped
  [89/13247] 1500 inserted, 2240 deduped
  [102/13247] 2000 inserted, 2240 deduped
  [109/13247] 2500 inserted, 2240 deduped
  [121/13247] 3000 inserted, 2279 deduped
  [130/13247] 3500 inserted, 2279 deduped
  [143/13247] 4000 inserted, 2279 deduped
  [154/13247] 4500 inserted, 2279 deduped
  [163/13247] 5000 inserted, 2279 deduped
  [175/13247] 5500 inserted, 2279 deduped
  [187/13247] 6000 inserted, 2279 deduped
  [199/13247] 6500 inserted, 2279 deduped
  [214/13247] 7000 inserted, 2279 deduped
  [232/13247] 7500 inserted, 2279 deduped
  [249/13247] 8000 inserted, 2279 deduped
  [266/13247] 8500 inserted, 2279 deduped
  [285/13247] 9000 inserted, 2279 deduped
  [297/13247] 9500 inserted, 2279 deduped
  [326/13247] 10000 inserted, 2279 deduped
  [340/13247] 10500 inserted, 2279 deduped
  [368/13247] 11000 inserted, 2279 deduped
  [395/13247] 11500 inserted, 2279 deduped
  [408/13247] 12000 inserted, 2279 deduped
  [425/13247] 12500 inserted, 2279 deduped
  [449/13247] 13000 inserted, 2279 deduped
  [465/13247] 13500 inserted, 2279 deduped
  [478/13247] 14000 inserted, 2279 deduped
  [496/13247] 14500 inserted, 2279 deduped
  [506/13247] 15000 inserted, 2279 deduped
  [525/13247] 15500 inserted, 2279 deduped
  [539/13247] 16000 inserted, 2279 deduped
  [554/13247] 16500 inserted, 2279 deduped
  [562/13247] 17000 inserted, 2279 deduped
  [572/13247] 17500 inserted, 2280 deduped
  [579/13247] 18000 inserted, 2280 deduped
  [596/13247] 18500 inserted, 2280 deduped
  [604/13247] 19000 inserted, 2280 deduped
  [624/13247] 19500 inserted, 2280 deduped
  [636/13247] 20000 inserted, 2280 deduped
  [647/13247] 20500 inserted, 2280 deduped
  [654/13247] 21000 inserted, 2280 deduped
  [662/13247] 21500 inserted, 2280 deduped
